,FibCassini_cpp,FibCassini_python,FibFormulaBig_string,FibFormula_python,FibFormula_string,FibLoop_cpp,FibLoop_python,FibLoop_string,FibMatrix_cpp,FibMatrix_python,FibMatrix_string,FibRecurDP_python,FibRecur_python
87,179555.47582459985,135555.49537613842,,,,81333.29720294569,8888.884963198507,908888.4849006718,361333.17269104737,19111.102574242977,1163555.0384880845,36888.87250063999,
88,251110.9995566585,51999.9769039714,,,,140888.82619489596,8888.884849511669,719555.2358325585,281333.2083633213,15999.992911019945,743110.7808315573,38222.205148485955,
89,218222.12522693007,54666.642427037004,,,,137777.71653167292,9333.329217042774,755110.775457979,358666.5072816686,17777.769926397013,1008888.440537703,39111.09376986133,
90,215999.90407139558,52444.42104412883,,,,82666.62985079165,8888.884849511669,1058221.7519186088,296888.75690681016,18222.214066554443,1155555.0419188875,37777.761008328525,
91,184444.36250319995,52444.42115781567,,,,155111.04220422567,9777.773357200203,778666.3206843514,363999.83821411297,19111.102687929815,1120888.3908011557,38666.64940233022,
92,220888.79074999568,54222.19817319274,,,,112444.3944036102,20444.43533577578,795555.201989373,300444.3109375643,18666.658434085548,851110.7328104117,39999.98227754986,
93,444888.6911632144,69333.30246283731,,,,87555.51664307859,11111.106118733005,795555.201989373,383999.8292960445,20444.43533577578,1084443.9624406733,42666.647800615465,
94,206666.57474066596,54666.642427037004,,,,88444.40515076712,9333.329217042774,1254221.664794386,328444.2984750058,18666.658434085548,991999.5591189945,39999.98227754986,
95,175111.03328615718,54666.64231335017,,,,89333.29354476882,9777.773470887041,821332.9682575932,377333.1656020673,19999.991081931512,1224443.9002415675,40888.87067155156,
96,288444.3161974559,55999.97507488297,,,,89777.73779861309,10222.217724731308,840444.070945523,243555.44724130596,16888.88141870848,724444.1225111587,40888.87067155156,
97,259110.99589848163,78222.18742603582,,,,87999.96089692286,9777.773470887041,953332.9096029775,282666.5410111673,16888.88141870848,996888.4457975946,41333.314925395825,
98,283555.4295188558,58222.196344104304,,,,93333.29182936723,11111.106232419843,908888.4849006718,301333.19944525283,27111.09902975295,895555.1575127174,49777.755634750065,
99,233333.22963026148,55555.5308210387,,,,94222.18033705576,9777.773470887041,884888.4955341418,339999.84884758305,18222.214066554443,1118221.7252780902,41777.75917924009,
100,297333.2011606544,59999.97335948137,,,,103111.06530025427,11555.55048626411,906221.819491293,287110.98354960995,18666.65832039871,843999.6249762771,91555.51481399016,
101,240444.33757808292,56444.419328727236,,,,96444.40149259026,9333.329103355936,919555.1468792474,341333.18160911585,18666.65832039871,1700443.6887191331,42222.2035467712,
102,291555.4259743658,57777.75209026004,,,,96444.4016062771,10666.661978575576,931999.5858732,462222.0167220803,18666.65832039871,1004888.4422531046,43999.98033477459,
103,215555.45970386447,56888.8635825715,,,,155111.04220422567,9777.773470887041,949777.3556859102,390666.4931037085,19999.991081931512,1258666.107219142,43111.09205445973,
104,266666.54810014734,101333.2882848772,,,,92888.84757552296,9333.329217042774,989332.8935959289,260444.32866001443,43555.53619461716,848888.5116548772,43999.98044846143,
